Date,Percent per annum
09.09.16,-0.637629
08.09.16,-0.647721
07.09.16,-0.663734
06.09.16,-0.655338
05.09.16,-0.643977
02.09.16,-0.646188
01.09.16,-0.640324
31.08.16,-0.643433
30.08.16,-0.639549
29.08.16,-0.637468
26.08.16,-0.629813
25.08.16,-0.635439
24.08.16,-0.639261
23.08.16,-0.643045
22.08.16,-0.637951
19.08.16,-0.629172
18.08.16,-0.633965
17.08.16,-0.639861
16.08.16,-0.631902
15.08.16,-0.633385
12.08.16,-0.644039
11.08.16,-0.636495
10.08.16,-0.643647
09.08.16,-0.640569
08.08.16,-0.641331
05.08.16,-0.641076
04.08.16,-0.638646
03.08.16,-0.636598
02.08.16,-0.634353
01.08.16,-0.635314
29.07.16,-0.638916
28.07.16,-0.644523
27.07.16,-0.643529
26.07.16,-0.625886
25.07.16,-0.631629
22.07.16,-0.631379
21.07.16,-0.636035
20.07.16,-0.64038
